title,question
Failure to renegotiate Scope,"During the Sprint, the work turns out to be different than the team expected. The Developers try to collaborate with the PO to renegotiate the scope. But no agreement can be reached that would not affect the Sprint Goal. Should the Sprint be cancelled? "
Metrics in complex environment,"Our goal is to deliver value. To maximize it, teams make measurements and base their future decisions on them. But in a complex environment, how do they know that the change in metrics is caused by their actions and not by a random set of internal and external factors? When are metrics helpful, and when not? "
"Predictability, Risk and Scrum","The Scrum Guide states: ""Scrum employs an iterative, incremental approach to optimize predictability and to control risk.""  How is predictability optimized with Scrum? How is risk controlled? "
Self-Empowered Teams,What are signs that a Scrum team is empowered? What behaviours can you observe in a self-managing team? What is made possible by empowering a team? 
Not all developers on Daily,What risk is introduced if not all Developers are present for the Daily Scrum? 
What Definition of Done is,One of the three pillars of Scrum is Transparency. One technique that improves transparency is using a Definition of Done. What is a Definition of Done? How does it support transparency? 
What is effectiveness?,What is effectiveness? Can it be measured? How can it be increased? 
Harmful Scrum?,Can Scrum be harmful if not used as intended? 
Urgent items vs process improvement,"The Product Owner asks the Developers to pick up a very urgent item late in Sprint that was not in the forecast, nor is it related to the Sprint Goal. The Developers believe it can pick this up, as it is close to meeting the Sprint Goal. But this would involve not meeting their process improvement goal agreed upon during the last Sprint Retrospective. The Product Owner argues that, as it’s the highest priority to satisfy the customer, the needs of the customer have a higher priority than the process improvement goal for the team. "
Postponing Sprint Planning,"The Product Owner suggests postponing the Sprint Planning as she hasn’t yet been able to process all the feedback from the Sprint Review into the Product Backlog. She argues it makes no sense to plan the Sprint if the Product Backlog isn’t in a transparent state. What would you, the Scrum Master, suggest? "
#No DoD,What if a developer refuses to conform to the Definition of Done (DoD)? 
Advice on the Scrum Team size,"A member of the organisation comes to you, the Scrum Master, asking for advice on how to organise the Scrum Teams for an upcoming project. He has the budget for approximately 15 developers and thinks this is too large for one team. What advice would you give him? What advice does Scrum have about Scrum Team size? "
Inspecting the Outcome,"What does it mean that the ""outcome"" of the Sprint is inspected (compared to the ""output"")? Or is it the same thing? "
Scrum Value Indicators,Are there tangible indicators that a Scrum Team embodied the Scrum Values? 
Focus on Scrum Values for new Team,"When forming a new Scrum Team, how will you help them to focus on the values from day one?  "
Holding each other accountable,What are ways to hold each other accountable as professionals? 
Birth of an Increment,"In the environment where a team pushes (code) changes frequently to build new versions of the product, is every new version an increment? Are only the versions that move a PBI to Done an increment? Or should we only push code changes if they fully complete a PBI (so that every version becomes a valid increment)? "
Decisions based on the Artifacts,"The Scrum Guide says: ""Important decisions are based on the perceived state of its three formal artifacts"".   How are decisions based on the state of the artifacts? How can low transparency on the artifacts lead to increased risk? "
What Product Backlog Refinement is,The Scrum Team you work with have missed their Sprint Goal for the last four Sprints. The Developers say this is because the Product Owner isn’t providing enough information on the Product Backlog Items. The Product Owner has heard about something called ‘Product Backlog Refinement’. How would you explain to him what Product Backlog Refinement is? What benefits are there if the Scrum Team start doing regular Product Backlog Refinement? 
"Useful, valuable Increment",What makes an Increment valuable? What makes it useful? 
Sum of the Increments,"At the Sprint Review, as stated in the Scrum Guide, ""The sum of the Increments is presented"".  How should this be understood?  Would it be okay to show the second to last Increment in the Review? If so, under what conditions? If not, why not?"
Process improvement vs Organisational policy,A Scrum Team implements a process improvement goal that is not in line with organisational policy and standards. They argue they are self-organising and should be able to break with the ‘old ways’ through small controlled experiments. 
No need for Daily?,"Developers, arguing they are self-organising, indicate they no longer need the Daily Scrum. What would be your reaction as a Scrum Master? "
External knowledge needed,"You are the Scrum Master for three Scrum Teams working on the same project. There is one Product Backlog that all three teams must select from. There is one code base. All three Development Teams come to you because they are anticipating a problem in the upcoming two Sprints. Each Development Team needs full time support from an external person, Cindy. Cindy is the only person with check-in/check-out permission for the database subschema they will be changing. The Development Teams claim that they can't proceed into these Sprints without Cindy, full time, on their team. What do you do?"
Skipping Retrospective upon CEO’s request,"The CEO announces a ‘company event’. The event is scheduled to take place at the same time the Sprint Retrospective is scheduled. As not to ‘limit the impact of this event on the productivity’, the CEO instructs team to cancel, rather than pre- or postpone the Retrospective. She argues: ""They have so many anyways, and this new unique event is also somewhat of an informal gathering"". "
Not enough skills to deliver a Done increment,"The Developers discussed that due to the absence of a Developer, they no longer have all the skills required to deliver a working ""Done"" Increment according to their Definition of Done (DoD). So they decide to adjust the DoD. What will be your reaction to this as the Scrum Master? "
Representing Artifacts,"How do the different artifacts (Product Backlog, Sprint Backlog, Increment) represent work or value? How do they maximise transparency? "
Consensus as base for decisions,"If there are no sub-teams or hierarchies, does it mean all decisions are based on consensus? "
Scrum and Waste,"The Scrum Guide says: ""Scrum is founded on empiricism and lean thinking … Lean thinking reduces waste and focuses on the essentials""  How does Scrum help reduce waste? "
PO challenges the estimate from Developers,"The Product Owner doesn’t understand the estimate given by the Developers regarding a Product Backlog item. The Product Owner is surprised to learn that the item is deemed very complex. The Product Owner refers to an earlier ‘similar’ Product Backlog item, which was not complex at all. How do you, the Scrum Master, proceed? "
Relationships and interactions in Scrum,How are relationships and interactions guided by Scrum? 
Other Goals of Sprint,"The Scrum Guide states: ""Their primary focus is on the work of the Sprint to make the best possible progress toward these goals.""  What other goals are there in the Sprint besides the Sprint Goal?"
Different times for the Daily,"Imagine you work in a team with a few part-time developers. Normally you hold your daily at 09:00, but on Tuesdays and Thursdays, two of the part-time developers only work in the afternoon and therefore can’t join. On the other days, some other people are not available in the afternoon. What would you do as the Scrum Master? "
Skill Acquisition in the Product Backlog,"If the team lacks a skill, is it okay to have items about acquiring that skill (e.g. training, hiring etc.) in the Product Backlog assuming it's needed to improve the Product? "
